"time","Real gross value added","Real gross operating surplus","Profit margin indicator"
"1",1996,4.0687644994349,4.45324735791065,3.37700638361831
"2",1996.25,4.41540091840339,4.19607647460816,0.139247789895115
"3",1996.5,5.87789817080277,4.83815227483618,1.43577631944845
"4",1996.75,7.13207985143917,6.09586513920873,2.19389176012096
"5",1997,8.39668476707631,5.40209444223083,0.191650832967939
"6",1997.25,10.6732070365359,6.75365877928017,-0.794028822396968
"7",1997.5,10.8775790921596,6.52557105089135,0.219415223463771
"8",1997.75,11.8682628243324,6.35974499336079,0.857737813544845
"9",1998,10.9154186880405,8.51538670676915,1.79710340755588
"10",1998.25,7.41759641346986,5.66766703396973,2.44854495891746
"11",1998.5,5.68181818181817,3.84336339856909,2.00715852976581
"12",1998.75,1.53980244044161,1.85152698341366,2.60684216572148
"13",1999,-0.560996481886478,0.65198892318059,5.08930351234409
"14",1999.25,-0.687692672516007,0.983867576162085,4.62680327871614
"15",1999.5,-0.746584025919127,1.58678426831537,5.69477003871719
"16",1999.75,1.98378636146876,2.30225624970558,4.08614870459031
"17",2000,6.65519219736089,2.77345979120088,0.527460935014879
"18",2000.25,9.49379178605541,4.93319468438576,2.71281274396718
"19",2000.5,8.92705080896962,4.65497236761969,0.866684937830752
"20",2000.75,11.0586364911624,6.81684379928615,1.22882652300049
"21",2001,7.76403084095391,4.97470187018217,3.19337950423809
"22",2001.25,5.56960921144451,2.92488995737208,1.0294486260797
"23",2001.5,6.29750271444083,4.16189410458829,2.92545852876033
"24",2001.75,4.84611174266346,2.89763052598348,2.98476559039506
"25",2002,3.15723793677205,2.37198162701701,0.450004338235526
"26",2002.25,6.36645321214625,3.91915040864373,0.515691129896344
"27",2002.5,6.8723186925434,3.5437089507059,0.952236814553206
"28",2002.75,6.32479318930207,2.84499359450599,-0.310668347104659
"29",2003,9.19391910964152,4.72707179911894,-1.72492088253967
"30",2003.25,6.55247417074498,3.30315733787081,0.566226962489192
"31",2003.5,6.6712543487403,3.08504477183024,-1.38418495871039
"32",2003.75,8.18446198587454,4.41465515931812,0.400213138468826
"33",2004,6.23730566121349,3.39843615681881,-3.31344280688103
"34",2004.25,5.81781066598622,3.85300321860014,0.103229262086703
"35",2004.5,6.59450935416816,4.08501595555448,-1.40672194035206
"36",2004.75,4.80379835218545,2.57981411170979,-1.7548102417144
"37",2005,7.72038375973303,4.01087437988498,4.86828690316904
"38",2005.25,8.85321574976747,4.87688349279095,-0.400983373527085
"39",2005.5,9.222648107054,4.77571682099473,3.24616477963311
"40",2005.75,10.7728181212525,5.58166820726662,2.08944061174855
"41",2006,10.0067765981477,5.93849719621168,0.391088817671181
"42",2006.25,10.0509509794614,4.99422310660891,0.0293003647462635
"43",2006.5,9.91534554409727,4.95319392097425,-3.12062957625423
"44",2006.75,9.83941781439826,4.24000377063125,-3.68594415399503
"45",2007,10.1085362276327,3.12190059018671,-3.17500771174928
"46",2007.25,8.46297627606039,2.03984793918024,-3.91886675433678
"47",2007.5,5.96818461883157,1.36789146118632,-3.47942412853819
"48",2007.75,3.36746427202541,-1.33032708392823,-6.44811166146588
"49",2008,-0.924445865302638,-5.00354117765006,-5.77069068780123
"50",2008.25,-0.458666949467103,-4.45566353536134,-8.69529724444713
"51",2008.5,-1.33731532626794,-5.38551637254289,-8.77565162257847
"52",2008.75,-9.92425045025956,-7.00883413241186,-1.34604704007742
"53",2009,-12.993089354379,-8.98783408519186,-9.85361373610053
"54",2009.25,-16.4655746437608,-9.63916196795511,-7.32601162266363
"55",2009.5,-17.8350432616324,-9.37258630645608,-7.30385441763837
"56",2009.75,-10.3090358434532,-4.68445332253922,-7.38494695536895
"57",2010,-3.82606545724263,2.08098803365329,4.69167695328751
"58",2010.25,1.71220865350891,4.81469443693593,7.86960648754346
"59",2010.5,5.13806931177257,7.96035725386637,10.5402070201836
"60",2010.75,9.40563223289513,9.28881342620636,8.37456778820451
"61",2011,8.9687971978534,9.47576018629162,7.8951085962701
"62",2011.25,7.88401253918495,8.11508912327183,7.22406419703438
"63",2011.5,8.74135632112624,6.36809615555336,5.17628153576138
"64",2011.75,5.98106196811698,3.48686017422652,2.88847178362648
"65",2012,5.93925095841935,2.43874553304856,-0.273573935962129
"66",2012.25,5.89277931134679,2.17537842305151,-0.904109063092421
"67",2012.5,3.94091479411429,2.43787322812058,-1.51061528206019
"68",2012.75,3.72653245871974,2.20806878154053,-0.714068628387206
"69",2013,2.98964480570093,2.18633560837854,0.424417873081192
"70",2013.25,0.856131493016499,0.455615493556045,-1.33151102996459
"71",2013.5,1.71193415637859,-0.484737010125536,-0.825361207770016
"72",2013.75,1.65458212942266,-0.330655210553013,-2.12084926127152
"73",2014,1.68387480404345,-0.282604693417193,-2.84482522565251
"74",2014.25,2.27452047340498,0.209238321695063,-1.49809221050079
"75",2014.5,2.0553487619356,-0.406018745120049,-1.85554738678765
"76",2014.75,1.9735607218513,-1.55927818902802,-3.66086754629995
"77",2015,0.582121687355469,-2.03379938242134,-4.26791195497994
"78",2015.25,0.736878508153555,-2.0000237660975,-5.60688122406317
"79",2015.5,-0.21143884131515,-3.1048085389339,-4.99978086670145
